id,eng,frn,ger,spn
0,GAME MENU,MENU DE LA PARTIE,PROGRAMM-MENÜ,MENU DE JUEGO
1,PLAY MENU,MENU DU JEU,SPIEL-MENÜ,MENU DE PARTIDA
2,ACTIONS MENU,MENU DES ACTIONS,AKTIONS-MENÜ,MENU DE ACCIONES
3,MENTOR MENU,MENU DU MENTOR,MENTOR-MENÜ,MENU DEL MENTOR
4,MINIMIZE,REDUCTION,SYMBOL,MINIMIZE
5,EXIT,SORTIE,BEENDEN,SALIR
6,,,,
7,,,,
8,,,,
9,,,,
10,DEMO MODE,MODE DEMONSTRATION,DEMONSTRATION,MODO DE DEMOSTRACION
11,NEW GAME,NOUVELLE PARTIE,NEUES SPIEL,JUEGO NUEVO
12,LOAD GAME,CHARGER LA PARTIE,SPIEL LADEN,CARGAR JUEGO
13,SAVE GAME,PARTIE MISE EN MEMOIRE,SPIEL SPEICHERN,GUARDAR JUEGO
14,SETTINGS,MISE EN PLACE,EINSTELLUNGEN,ARREGLOS
15,BACK,RETOUR,ZURÜCK,MENU PREVIO
16,,,,
17,,,,
18,,,,
19,,,,
20,SELECT PLAYERS,SELECTION DES JOUEURS,SPIELER AUSWÄHLEN,ESCOGER JUGADORES
21,LOOK & FEEL MENU,OPTIONS,ÄNDERUNGSMENÜ,MENU DE PREFERENCIAS
22,SETUP GAME,POSITIONNER LES PIECES,SPIEL EINRICHTEN,ORGANIZAR JUEGO
23,SHOW CAPTURED PIECES,PIECES ELIMINEES,GESCHLAGENE FIGUREN,PIEZAS CAPTURADAS
24,,,,
25,BACK,RETOUR,ZURÜCK,MENU PREVIO
26,,,,
27,,,,
28,,,,
29,,,,
30,SWITCH SIDES,CHANGER DE CAMP,SEITEN WECHSELN,CAMBIAR LADOS
31,FORCE MOVE,FORCER LE COUP,ZWANGSZUG,FORZAR JUGADA
32,TAKE BACK MOVE,REPRENDRE LE COUP,ZUG ZURÜCK,RETROCEDER MOVIDA
33,RE-PLAY A MOVE,REJOUER LE COUP,REPLAY,REPETIR MOVIDA
34,OFFER DRAW,OFFRE DE PARTIE NULLE,REMIS ANBIETEN,OFRECER TABLAS
35,BACK,RETOUR,ZURÜCK,MENU PREVIO
36,,,,
37,,,,
38,,,,
39,,,,
40,HINT,CONSEIL,TIP,INDICACION
41,PLAY LEVEL,DEGRE DE DIFFICULTE,SPIELEBENE,NIVEL DE JUEGO
42,,,,
43,,,,
44,,,,
45,BACK,RETOUR,ZURÜCK,MENU PREVIO
46,,,,
47,,,,
48,,,,
49,,,,
50,LOAD SETTINGS,CHARGER LA MISE EN PLACE,EINSTELLUNGEN LADEN,CARGAR ARREGLOS
51,SAVE SETTINGS,MEMORISER LA MISE EN PLACE,EINST. SPEICHERN,GUARDAR ARREGLOS
52,RESTORE SETTINGS,RETABLIR LA MISE EN PLACE,EINST. WIEDERHERST.,RESTAURAR ARREGLOS
53,,,,
54,,,,
55,BACK,RETOUR,ZURÜCK,MENU PREVIO
56,,,,
57,,,,
58,,,,
59,,,,
60,HUMAN VS. COMPUTER,HUMAIN CONTRE ORDINATEUR,MENSCH - COMPUTER,HUMANO VS. COMP.
61,HUMAN VS. HUMAN,HUMAIN CONTRE HUMAIN,MENSCH - MENSCH,HUMANO VS. HUMANO
62,COMPUTER VS. COMPUTER,ORDINATEUR CONTRE ORDINATEUR,COMPUTER - COMPUTER,COMP. VS. COMP.
63,,,,
64,,,,
65,BACK,RETOUR,ZURÜCK,MENU PREVIO
66,,,,
67,,,,
68,,,,
69,,,,
70,WHITE ON BOTTOM,BLANCS EN BAS,WEISS UNTEN,BLANCAS ABAJO
71,MUSIC OFF,SANS MUSIQUE,MUSIK AUS,DESACTIVAR MUSICA
72,CAPTURES OFF,SANS CAPTURES,SCHLAGEN AUS,DESACTIVAR CAPTURAS
73,WALKING OFF,SANS MARCHER,GEHEN AUS,DESACTIVAR DESPLAZAMIENTO
74,CHANGE BOARD,CHANGER LA TABLE DE JEU,HINTERGRUND ÜNDERN,CAMBIAR TABLERO
75,BACK,RETOUR,ZURÜCK,MENU PREVIO
76,WHITE ON TOP,BLANCS EN HAUT,WEISS OBEN,BLANCAS ARRIBA
77,MUSIC ON,AVEC MUSIQUE,MUSIK EIN,ACTIVAR MUSICA
78,CAPTURES ON,AVEC CAPTURES,SCHLAGEN EIN,ACTIVAR CAPTURAS
79,WALKING ON,AVEC MARCHER,GEHEN EIN,ACTIVAR DESPLAZAMIENTO
80,CLEAR,EFFACER,LÖSCHEN,BORRAR
81,NEW,NOUVEAU JEU,NEU,NUEVO
82,DONE,OK,OK,TERMINADO
83,WHITE TO MOVE,AU TOUR DES BLANCS,WEISS ZIEHT,BLANCA A MOVER
84,BLACK TO MOVE,AU TOUR DES NOIRS,SCHWARZ ZIEHT,NEGRA A MOVER
85,BACK,RETOUR,ZURÜCK,MENU PREVIO
86,,,,
87,,,,
88,,,,
89,,,,
90,NEWCOMER,DEBUTANT,ANFÄNGER,JUGADOR NOVATO
91,EASY,FACILE,LEICHT,FACIL
92,MODERATE,MOYEN,MITTEL,MODERADO
93,HARD,DIFFICILE,SCHWER,DIFICIL
94,EXPERT,EXPERT,EXPERTE,EXPERTO
95,BACK,RETOUR,ZURÜCK,MENU PREVIO
96,,,,
97,,,,
98,,,,
